Country,EFI,PPM
Albania,7.67,2769.124891
Algeria,4.77,600.9267267
Angola,4.83,92.14115839
Argentina,5.67,7854.65164
Armenia,7.7,11717.61358
Australia,8.07,544.499177
Austria,7.71,5067.424444
Azerbaijan,6.34,2633.630916
Bahamas,7.25,4763.142516
Bahrain,7.35,19965.21226
Bangladesh,6.18,1089.751786
Barbados,6.45,411.4620124
Belarus,6.64,5453.637776
Belgium,7.51,10741.58115
Belize,6.78,2775.615084
Benin,6.08,100.5592298
Bhutan,6.77,169.9676429
Bolivia,6.14,5134.723506
Bosnia and Herzegovina,6.69,5418.009708
Botswana,7.37,843.5451708
Brazil,6.23,10690.15557
Brunei,6.62,268.8515186
Bulgaria,7.54,3084.060596
Burkina Faso,6.07,55.17219255
Burundi,6.17,21.41586646
Cambodia,7.44,10.29299068
Cameroon,5.84,428.7996398
Canada,8.08,3041.01168
Cape Verde,7.16,5399.98923
Chad,5.42,44.6576677
Chile,7.89,12921.64809
China,6.42,56.89911491
Colombia,6.68,7446.513969
Democratic Republic of Congo,5,65.62169565
Congo,5.08,424.898795
Costa Rica,7.41,6712.638798
Croatia,7.26,4309.061165
Cyprus,7.68,2182.424972
Czechia,7.75,7856.788388
Denmark,7.89,3405.51673
Dominica,6.92,314.221441
Ecuador,6.28,4173.871034
Egypt,5.05,552.6778509
El Salvador,7.16,2128.009714
Estonia,7.89,2046.501425
Eswatini,6.52,2041.931273
Ethiopia,5.72,275.3653665
Fiji,6.74,22.98593789
Finland,7.8,1397.462211
France,7.35,7249.588839
Gabon,5.88,2097.634531
Gambia,7.23,543.1310248
Georgia,7.94,3670.194904
Germany,7.82,3103.757602
Ghana,6.58,748.2876149
Greece,6.59,1519.417671
Guatemala,7.57,2355.271174
Guinea,5.86,436.6068043
Guinea-Bissau,5.23,683.5287857
Guyana,6.32,1634.397043
Haiti,6.49,408.088472
Honduras,7.16,3711.139817
Hungary,7.27,2882.478876
Iceland,7.74,6223.101957
India,6.91,1942.151764
Indonesia,7.27,520.7094627
Iran,5.72,3416.934556
Iraq,5.21,3997.055491
Ireland,8.13,5457.869832
Israel,7.53,11891.95036
Italy,7.41,5564.463851
Jamaica,7.17,924.1360031
Japan,7.86,344.6982298
Jordan,7.44,2444.131283
Kazakhstan,7.1,3552.198171
Kenya,7.05,393.6203851
South Korea,7.59,296.2366708
Kuwait,6.41,12785.83438
Laos,6.67,2.378251553
Latvia,7.73,1361.235559
Lebanon,6.97,3433.48863
Lesotho,6.5,310.332587
Liberia,6.56,146.2919317
Libya,4.45,2495.069922
Lithuania,7.88,2691.379186
Luxembourg,7.86,12228.81899
Madagascar,6.14,262.2587267
Malawi,6.06,137.2859006
Malaysia,7.34,404.523323
Mali,5.91,92.39034472
Malta,7.97,4647.352981
Mauritania,6.11,822.9232857
Mauritius,8.07,229.9265745
Mexico,6.93,2888.152565
Moldova,6.66,7172.961857
Mongolia,7.43,66.22049689
Montenegro,6.84,10176.46896
Morocco,6.69,1897.90273
Mozambique,5.6,123.6100342
Myanmar,5.63,241.8319658
Namibia,6.53,1695.252335
Nepal,6.49,1668.874283
Netherlands,7.72,6505.45177
New Zealand,8.5,273.5298944
Nicaragua,7.01,382.8224317
Niger,5.83,34.8722205
Nigeria,6.86,143.0283665
North Macedonia,7.02,6120.014953
Norway,7.62,1978.107252
Oman,6.76,9882.130385
Pakistan,5.91,796.3216832
Panama,7.66,13004.56124
Papua New Guinea,6.36,23.57938199
Paraguay,7.03,2609.767534
Peru,7.49,11560.36546
Philippines,7.32,1230.201854
Poland,7.24,3557.018158
Portugal,7.52,6183.191525
Qatar,7.07,25213.02007
Romania,7.68,4656.904913
Russia,6.78,4930.647755
Rwanda,7.26,161.634118
Saudi Arabia,6.52,5074.651432
Senegal,6.17,447.092382
Serbia,6.89,4254.161587
Seychelles,7.16,749.9334503
Sierra Leone,5.71,152.7893416
Singapore,8.71,5952.37122
Slovakia,7.51,2819.036286
Slovenia,7.15,4890.774189
South Africa,6.61,5353.716503
Spain,7.55,9738.878562
Sri Lanka,6.57,190.7204689
Sudan,4.67,175.1015404
Suriname,6.65,3344.75846
Sweden,7.56,6680.651037
Switzerland,8.4,7167.108264
Syria,5.05,109.4525124
Taiwan,7.85,16.74111491
Tajikistan,6.05,560.0961739
Tanzania,6.77,6.136987578
Thailand,6.86,38.09495963
Timor,5.99,14.73121118
Togo,6.21,114.9799037
Trinidad and Tobago,6.7,1202.85968
Tunisia,6.2,1305.136534
Turkey,6.67,2449.149248
Uganda,7.39,87.60374845
Ukraine,5.96,3202.641376
United Arab Emirates,7.17,5646.461599
United Kingdom,8.09,5841.234826
United States,8.19,12433.3372
Uruguay,7.05,416.7870124
Venezuela,2.58,1078.697612
Vietnam,6.27,6.000798137
Yemen,5.84,35.24913354
Zambia,6.84,340.414795
