Country,HFI,PPM
Albania,7.84,2769.1248913043473
Algeria,4.99,600.9267267080746
Angola,5.4,92.14115838509316
Argentina,6.86,7854.651639751553
Armenia,7.42,11717.613583850933
Australia,8.62,544.4991770186333
Austria,8.48,5067.424444099382
Azerbaijan,6.22,2633.630916149069
Bahamas,7.56,4763.14251552795
Bahrain,6.63,19965.212257763975
Bangladesh,5.77,1089.7517857142855
Barbados,7.02,411.4620124223601
Belarus,6.65,5453.637776397513
Belgium,8.29,10741.58114596273
Belize,6.95,2775.6150838509325
Benin,6.77,100.55922981366449
Bhutan,6.53,169.96764285714286
Bolivia,6.61,5134.723506211178
Bosnia and Herzegovina,7.37,5418.009708074531
Botswana,7.17,843.5451708074534
Brazil,6.48,10690.155574534156
Brunei,5.69,268.85151863354065
Bulgaria,7.79,3084.0605962732925
Burkina Faso,6.73,55.17219254658387
Burundi,5.56,21.41586645962732
Cambodia,7.13,10.29299068322982
Cameroon,5.64,428.7996397515529
Canada,8.65,3041.0116801242234
Cape Verde,7.45,5399.989229813665
Chad,5.46,44.65766770186332
Chile,8.15,12921.648086956515
China,6.17,56.899114906832274
Colombia,6.93,7446.513968944099
Democratic Republic of Congo,5.36,65.6216956521739
Congo,5.8,424.8987950310557
Costa Rica,7.7,6712.638798136647
Croatia,7.86,4309.061164596274
Cyprus,7.93,2182.4249720496896
Czechia,8.34,7856.788388198758
Denmark,8.56,3405.516729813665
Dominica,6.95,314.2214409937882
Ecuador,6.82,4173.87103416149
Egypt,4.5,552.6778509316772
El Salvador,6.89,2128.009714285715
Estonia,8.46,2046.501425465839
Eswatini,6.4,2041.9312732919261
Ethiopia,5.25,275.36536645962735
Fiji,7.17,22.98593788819876
Finland,8.53,1397.4622111801252
France,8.02,7249.5888385093185
Gabon,5.99,2097.634531055902
Gambia,5.94,543.1310248447207
Georgia,7.74,3670.1949037267077
Germany,8.53,3103.7576024844725
Ghana,6.94,748.2876149068328
Greece,7.33,1519.4176708074533
Guatemala,7.07,2355.271173913042
Guinea,5.61,436.6068043478262
Guinea-Bissau,6.07,683.5287857142868
Guyana,6.74,1634.3970434782602
Haiti,6.71,408.0884720496896
Honduras,6.81,3711.1398167701855
Hungary,7.65,2882.478875776397
Iceland,8.41,6223.101956521739
India,6.64,1942.151763975155
Indonesia,6.83,520.7094627329193
Iran,5.1,3416.934555900623
Iraq,4.34,3997.055490683231
Ireland,8.52,5457.869832298136
Israel,7.61,11891.950363354032
Italy,8.04,5564.463850931676
Jamaica,7.2,924.1360031055897
Japan,8.28,344.6982298136646
Jordan,6.84,2444.131282608696
Kazakhstan,6.9,3552.198170807454
Kenya,6.85,393.62038509316784
South Korea,8.2,296.23667080745344
Kuwait,6.19,12785.834381987575
Laos,6.2,2.3782515527950276
Latvia,8.29,1361.2355590062111
Lebanon,6.74,3433.4886304347815
Lesotho,6.54,310.3325869565217
Liberia,6.35,146.29193167701874
Libya,4.64,2495.0699223602487
Lithuania,8.32,2691.379186335403
Luxembourg,8.56,12228.818993788816
Madagascar,6.32,262.2587267080745
Malawi,6.6,137.28590062111797
Malaysia,6.52,404.5233229813666
Mali,6.03,92.39034472049687
Malta,8.37,4647.352981366459
Mauritania,5.47,822.9232857142856
Mauritius,7.52,229.92657453416192
Mexico,6.65,2888.1525652173914
Moldova,6.93,7172.961857142856
Mongolia,7.61,66.22049689440993
Montenegro,7.43,10176.468956521738
Morocco,6.18,1897.9027298136639
Mozambique,6.24,123.61003416149072
Myanmar,5.44,241.83196583850932
Namibia,6.75,1695.2523354037266
Nepal,6.51,1668.874282608696
Netherlands,8.5,6505.451770186337
New Zealand,8.88,273.5298944099379
Nicaragua,6.86,382.8224316770187
Niger,5.87,34.87222049689439
Nigeria,6.38,143.0283664596274
North Macedonia,7.34,6120.014953416148
Norway,8.44,1978.1072515527956
Oman,5.98,9882.130385093165
Pakistan,5.69,796.3216832298136
Panama,7.69,13004.56123913043
Papua New Guinea,6.6,23.579381987577634
Paraguay,6.9,2609.767534161489
Peru,7.55,11560.36545652174
Philippines,6.88,1230.201854037267
Poland,7.78,3557.0181583850936
Portugal,8.27,6183.19152484472
Qatar,6.15,25213.020071428586
Romania,8.11,4656.90491304348
Russia,6.34,4930.647754658382
Rwanda,6.82,161.63411801242222
Saudi Arabia,5.42,5074.651431677018
Senegal,6.57,447.09238198757765
Serbia,7.3,4254.161586956523
Seychelles,7.16,749.9334503105594
Sierra Leone,5.99,152.7893416149068
Singapore,8.11,5952.371220496897
Slovakia,8.02,2819.036285714285
Slovenia,7.97,4890.774189440993
South Africa,7.08,5353.716503105591
Spain,8.12,9738.878562111806
Sri Lanka,6.41,190.7204689440994
Sudan,4.32,175.10154037267066
Suriname,7.48,3344.7584596273305
Sweden,8.5,6680.651037267081
Switzerland,8.82,7167.108263975156
Syria,3.79,109.45251242236029
Taiwan,8.4,16.741114906832305
Tajikistan,5.77,560.0961739130437
Tanzania,6.26,6.136987577639731
Thailand,6.55,38.09495962732918
Timor,6.76,14.73121118012419
Togo,6.31,114.97990372670809
Trinidad and Tobago,6.62,1202.8596801242238
Tunisia,6.08,1305.1365341614905
Turkey,6.21,2449.1492484472046
Uganda,6.61,87.603748447205
Ukraine,6.26,3202.6413757763967
United Arab Emirates,6.13,5646.461599378883
United Kingdom,8.47,5841.234826086956
United States,8.46,12433.33720496895
Uruguay,7.74,416.7870124223602
Venezuela,3.8,1078.6976118012428
Vietnam,6.29,6.0007981366459635
Yemen,4.3,35.24913354037265
Zambia,6.49,340.41479503105586
