Country,PFI,PPM
Albania,8.01,2769.124891
Algeria,5.2,600.9267267
Angola,5.98,92.14115839
Argentina,8.04,7854.65164
Armenia,7.15,11717.61358
Australia,9.16,544.499177
Austria,9.25,5067.424444
Azerbaijan,6.1,2633.630916
Bahamas,7.87,4763.142516
Bahrain,5.91,19965.21226
Bangladesh,5.37,1089.751786
Barbados,7.59,411.4620124
Belarus,6.66,5453.637776
Belgium,9.07,10741.58115
Belize,7.12,2775.615084
Benin,7.47,100.5592298
Bhutan,6.29,169.9676429
Bolivia,7.07,5134.723506
Bosnia and Herzegovina,8.04,5418.009708
Botswana,6.97,843.5451708
Brazil,6.74,10690.15557
Brunei,4.76,268.8515186
Bulgaria,8.04,3084.060596
Burkina Faso,7.39,55.17219255
Burundi,4.95,21.41586646
Cambodia,6.82,10.29299068
Cameroon,5.43,428.7996398
Canada,9.22,3041.01168
Cape Verde,7.74,5399.98923
Chad,5.49,44.6576677
Chile,8.41,12921.64809
China,5.92,56.89911491
Colombia,7.18,7446.513969
Democratic Republic of Congo,5.73,65.62169565
Congo,6.52,424.898795
Costa Rica,7.99,6712.638798
Croatia,8.45,4309.061165
Cyprus,8.18,2182.424972
Czechia,8.92,7856.788388
Denmark,9.24,3405.51673
Dominica,6.98,314.221441
Ecuador,7.36,4173.871034
Egypt,3.95,552.6778509
El Salvador,6.62,2128.009714
Estonia,9.02,2046.501425
Eswatini,6.29,2041.931273
Ethiopia,4.77,275.3653665
Fiji,7.61,22.98593789
Finland,9.27,1397.462211
France,8.69,7249.588839
Gabon,6.1,2097.634531
Gambia,4.64,543.1310248
Georgia,7.53,3670.194904
Germany,9.25,3103.757602
Ghana,7.3,748.2876149
Greece,8.07,1519.417671
Guatemala,6.56,2355.271174
Guinea,5.37,436.6068043
Guinea-Bissau,6.9,683.5287857
Guyana,7.16,1634.397043
Haiti,6.93,408.088472
Honduras,6.47,3711.139817
Hungary,8.04,2882.478876
Iceland,9.08,6223.101957
India,6.37,1942.151764
Indonesia,6.38,520.7094627
Iran,4.48,3416.934556
Iraq,3.47,3997.055491
Ireland,8.9,5457.869832
Israel,7.7,11891.95036
Italy,8.67,5564.463851
Jamaica,7.23,924.1360031
Japan,8.7,344.6982298
Jordan,6.23,2444.131283
Kazakhstan,6.69,3552.198171
Kenya,6.65,393.6203851
South Korea,8.81,296.2366708
Kuwait,5.97,12785.83438
Laos,5.74,2.378251553
Latvia,8.85,1361.235559
Lebanon,6.52,3433.48863
Lesotho,6.57,310.332587
Liberia,6.13,146.2919317
Libya,4.83,2495.069922
Lithuania,8.76,2691.379186
Luxembourg,9.26,12228.81899
Madagascar,6.51,262.2587267
Malawi,7.13,137.2859006
Malaysia,5.7,404.523323
Mali,6.15,92.39034472
Malta,8.77,4647.352981
Mauritania,4.83,822.9232857
Mauritius,6.98,229.9265745
Mexico,6.38,2888.152565
Moldova,7.2,7172.961857
Mongolia,7.79,66.22049689
Montenegro,8.03,10176.46896
Morocco,5.68,1897.90273
Mozambique,6.89,123.6100342
Myanmar,5.26,241.8319658
Namibia,6.97,1695.252335
Nepal,6.53,1668.874283
Netherlands,9.28,6505.45177
New Zealand,9.27,273.5298944
Nicaragua,6.72,382.8224317
Niger,5.92,34.8722205
Nigeria,5.9,143.0283665
North Macedonia,7.66,6120.014953
Norway,9.26,1978.107252
Oman,5.2,9882.130385
Pakistan,5.47,796.3216832
Panama,7.72,13004.56124
Papua New Guinea,6.84,23.57938199
Paraguay,6.78,2609.767534
Peru,7.61,11560.36546
Philippines,6.44,1230.201854
Poland,8.32,3557.018158
Portugal,9.02,6183.191525
Qatar,5.24,25213.02007
Romania,8.54,4656.904913
Russia,5.9,4930.647755
Rwanda,6.38,161.634118
Saudi Arabia,4.32,5074.651432
Senegal,6.97,447.092382
Serbia,7.71,4254.161587
Seychelles,7.16,749.9334503
Sierra Leone,6.27,152.7893416
Singapore,7.5,5952.37122
Slovakia,8.54,2819.036286
Slovenia,8.78,4890.774189
South Africa,7.55,5353.716503
Spain,8.69,9738.878562
Sri Lanka,6.25,190.7204689
Sudan,3.97,175.1015404
Suriname,8.3,3344.75846
Sweden,9.45,6680.651037
Switzerland,9.24,7167.108264
Syria,2.53,109.4525124
Taiwan,8.94,16.74111491
Tajikistan,5.49,560.0961739
Tanzania,5.75,6.136987578
Thailand,6.25,38.09495963
Timor,7.52,14.73121118
Togo,6.41,114.9799037
Trinidad and Tobago,6.54,1202.85968
Tunisia,5.97,1305.136534
Turkey,5.74,2449.149248
Uganda,5.82,87.60374845
Ukraine,6.56,3202.641376
United Arab Emirates,5.09,5646.461599
United Kingdom,8.85,5841.234826
United States,8.72,12433.3372
Uruguay,8.42,416.7870124
Venezuela,5.03,1078.697612
Vietnam,6.31,6.000798137
Yemen,2.75,35.24913354
Zambia,6.13,340.414795
